,,Day0,Day3,Day5,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24
E255K,100ul virus,1500000,1540000,1260000,1260000,1460000,1640000,3220000,3920000,9280000,16240000,26400000,40000000,56320000,90880000,,,,,,,
E255K,100ul virus,2420000,2100000,2870000,2760000,3840000,8240000,12800000,17280000,29920000,41120000,62720000,85120000,,,,,,,,,
E255K,100ul virus,620000,880000,1230000,1730000,3320000,4160000,10640000,13840000,25600000,55360000,84480000,148480000,275200000,343040000,,,,,,,
E255K,100ul virus,610000,950000,960000,1650000,2600000,4800000,13120000,16000000,30400000,58560000,105600000,169600000,212480000,432640000,,,,,,,
E255K,10ul virus,1640000,2750000,2330000,2120000,1600000,1480000,1420000,2080000,6320000,9120000,19840000,37440000,58560000,123200000,,,,,,,
E255K,10ul virus,2100000,2510000,2530000,2260000,2340000,2680000,4560000,8560000,14960000,26560000,49600000,115200000,239360000,,,,,,,,
E255K,10ul virus,520000,970000,690000,560000,460000,540000,560000,600000,1440000,2060000,2780000,3660000,5200000,9800000,22720000,30720000,55680000,92800000,121600000,172800000,417280000
E255K,1ul virus,2010000,2080000,1920000,1460000,1340000,1320000,1700000,1780000,2740000,3600000,7040000,10880000,20480000,41920000,55360000,103680000,158720000,,,,
E255V,1ml virus,1600000,3100000,1760000,4100000,4800000,6480000,8040000,15680000,24320000,31840000,,,,,,,,,,,
E255V,1ml virus,2070000,2830000,3610000,6440000,9120000,14560000,26560000,36480000,58880000,103040000,,,,,,,,,,,
E255V,1ml virus,1120000,1700000,3480000,5100000,10800000,12320000,18800000,32640000,50240000,100480000,126720000,189440000,422400000,,,,,,,,
E255V,1ml virus,740000,1070000,2240000,3680000,6320000,16080000,33280000,54400000,98560000,176640000,268800000,465920000,,,,,,,,,
E255V,100ul virus,1860000,2570000,2640000,2800000,4180000,4400000,5280000,9200000,13040000,18480000,32960000,50880000,71200000,128640000,,,,,,,
E255V,100ul virus,2070000,2530000,2920000,7920000,9080000,17440000,26880000,45980000,69120000,94720000,174080000,266240000,,,,,,,,,
E255V,100ul virus,620000,880000,1230000,1730000,3320000,4160000,10640000,13840000,25600000,55360000,84480000,148480000,275200000,343040000,,,,,,,
E255V,100ul virus,610000,950000,960000,1650000,2600000,4800000,13120000,16000000,30400000,58560000,105600000,169600000,212480000,432640000,,,,,,,
