691.55,352.9,11.5,0.051129,0.0063867,0.00091055,0.00027787,0.00048005,0.00071513,4.9782e-05,0.00043043,5.0227e-10,0.0047171,8.4681e-11,0.0027273,0.0019568,0.0025222,0.00061321,0.0029602,0.0021722,0.00023249,0.0025491,0.0047517
651.88,342.25,11.716,0.042629,0.0061916,0.00082534,0.00025457,0.00041793,0.00066,4.5014e-05,0.00038108,3.478e-10,0.0045238,5.5938e-11,0.002548,0.0017347,0.0023703,0.00051865,0.0027872,0.0019617,0.00020661,0.002449,0.0045341
600.07,472.54,12.361,0.060014,0.0065899,0.00094733,0.00028806,0.00048759,0.00074448,5.1308e-05,0.00044141,3.6288e-10,0.0049053,5.5679e-11,0.0028653,0.0020474,0.0026417,0.0006097,0.0031026,0.0022857,0.00023827,0.0026395,0.0049601
682.68,296.68,12.852,0.036512,0.0060498,0.00080171,0.00024771,0.00041147,0.0006408,4.3932e-05,0.0003731,4.0122e-10,0.0043961,6.7046e-11,0.0024602,0.0016832,0.0022931,0.00051703,0.002695,0.001895,0.00020229,0.0023878,0.0043942
668.75,197.67,11.641,0.0063158,0.0053361,0.00062425,0.00019714,0.00030909,0.00051348,3.4438e-05,0.00028451,2.7819e-10,0.0037493,4.5945e-11,0.0019799,0.0012652,0.0018728,0.00038073,0.0022035,0.0014496,0.00015518,0.0020677,0.0036869
1001,448.05,12.547,0.10954,0.0077301,0.0016627,0.00048954,0.0011208,0.0011869,9.6428e-05,0.00092001,5.3342e-09,0.0060815,1.2087e-09,0.0040885,0.0038416,0.0036722,0.0016336,0.0042504,0.0038901,0.0004945,0.0032784,0.0062947
756.91,236.71,12.31,0.030942,0.0059153,0.00081945,0.00025183,0.00044454,0.00064486,4.54e-05,0.00039414,6.5508e-10,0.0042918,1.1933e-10,0.002427,0.0017478,0.0022585,0.0005818,0.0026477,0.0019246,0.00021318,0.0023431,0.0042862
762.73,291.63,11.289,0.04676,0.0062849,0.00092451,0.00028145,0.0005094,0.00071823,5.1097e-05,0.00044886,7.7156e-10,0.0046342,1.4106e-10,0.0026948,0.0020018,0.0024909,0.00067181,0.0029179,0.0021875,0.00024219,0.0025138,0.0046636
633.28,421.61,12.184,0.056209,0.006503,0.00092369,0.00028162,0.00047629,0.00072763,5.0159e-05,0.00043091,3.8582e-10,0.0048223,6.0894e-11,0.0027977,0.0019859,0.0025839,0.00059716,0.003035,0.0022195,0.00023278,0.0025985,0.0048675
664.04,382.12,12.793,0.053201,0.0064342,0.00091222,0.00027842,0.00047471,0.00071821,4.9701e-05,0.00042789,4.3541e-10,0.0047589,7.1091e-11,0.0027521,0.0019582,0.0025443,0.00060006,0.0029876,0.0021833,0.00023118,0.0025682,0.0047973
637.43,395.21,11.92,0.051667,0.0063991,0.00088734,0.00027169,0.00045351,0.00070313,4.8236e-05,0.00041186,3.6384e-10,0.0047213,5.7576e-11,0.00271,0.0018913,0.0025093,0.00056537,0.0029489,0.0021248,0.0002228,0.0025474,0.0047543
767.1,329,11.367,0.056512,0.00651,0.00099873,0.00030208,0.00055754,0.00076868,5.5142e-05,0.00048872,8.676e-10,0.0048485,1.5911e-10,0.0028735,0.0021873,0.0026443,0.00074045,0.0030953,0.0023742,0.00026322,0.0026218,0.0049021
797.81,274.47,12.209,0.046994,0.0062893,0.00095169,0.00028893,0.00053816,0.00073334,5.2912e-05,0.00046952,9.7954e-10,0.0046464,1.8585e-10,0.0027249,0.0020738,0.0025149,0.00072148,0.0029425,0.0022448,0.00025315,0.0025234,0.0046796
