48,414,65,472
0,0,243,256
NaN,NaN,NaN,NaN
4,139,148,208
54,470,36,439
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
22,137,122,218
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,236,263
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
6,301,244,448
NaN,NaN,NaN,NaN
0,116,143,240
0,184,122,193
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
41,404,110,444
8,58,418,515
NaN,NaN,NaN,NaN
2,107,156,234
NaN,NaN,NaN,NaN
0,204,100,195
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,268,231
0,0,491,508
NaN,NaN,NaN,NaN
4,0,233,262
NaN,NaN,NaN,NaN
2,198,97,202
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,233,266
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,186,114,199
22,208,56,213
0,264,49,186
NaN,NaN,NaN,NaN
0,166,118,215
0,328,12,159
10,239,35,215
9,133,350,507
0,37,227,235
NaN,NaN,NaN,NaN
16,152,95,236
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
25,202,53,219
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,225,274
NaN,NaN,NaN,NaN
0,0,256,243
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
9,333,218,439
4,310,2,183
10,174,86,229
0,0,219,280
1,79,195,224
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
7,503,115,374
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,250,249
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,246,253
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
25,48,128,298
14,104,144,237
0,0,247,252
NaN,NaN,NaN,NaN
0,0,252,247
0,122,164,213
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
9,186,79,225
2,150,119,228
0,0,229,270
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
21,168,82,228
18,115,126,240
0,112,159,228
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
5,134,151,209
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
16,324,182,477
0,0,231,268
10,0,222,267
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
5,289,266,439
NaN,NaN,NaN,NaN
4,171,103,221
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
14,339,176,470
17,529,44,409
0,0,1,7
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,260,54,185
0,84,199,216
0,0,232,267
NaN,NaN,NaN,NaN
0,0,251,248
13,70,381,535
28,95,132,244
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,0,243,256
62,382,119,436
0,199,90,210
NaN,NaN,NaN,NaN
0,166,106,227
1,0,0,17
0,0,222,277
2,231,80,186
19,485,95,400
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
0,136,152,211
NaN,NaN,NaN,NaN
16,209,74,200
0,0,259,240
4,119,130,246
0,147,137,215
16,101,349,533
0,0,465,534
24,189,51,235
0,0,241,258
NaN,NaN,NaN,NaN
0,103,161,235
NaN,NaN,NaN,NaN
15,410,140,434
9,162,90,238
0,0,217,282
NaN,NaN,NaN,NaN
0,223,80,196
NaN,NaN,NaN,NaN
0,0,226,273
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
2,205,82,210
3,42,216,238
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1,397,165,436
0,186,88,225
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
5,231,82,181
NaN,NaN,NaN,NaN
0,158,135,206
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1,54,184,260
3,193,103,200
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
6,100,184,209
1,123,154,221
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
25,119,354,501
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
4,120,138,237
0,214,86,199
