123,3.0443,1.7139e-10,7.3352e-10
124,3.0631,1.7245e-10,7.3805e-10
125,3.082,1.7351e-10,7.426e-10
126,3.101,1.7458e-10,7.4719e-10
127,3.1202,1.7566e-10,7.518e-10
128,3.1394,1.7674e-10,7.5644e-10
129,3.1588,1.7783e-10,7.611e-10
130,3.1783,1.7893e-10,7.658e-10
131,3.1979,1.8003e-10,7.7052e-10
132,3.2176,1.8115e-10,7.7528e-10
133,3.2375,1.8226e-10,7.8006e-10
134,3.2575,1.8339e-10,7.8488e-10
135,3.2776,1.8452e-10,7.8972e-10
136,3.2978,1.8566e-10,7.9459e-10
137,3.3181,1.868e-10,7.9949e-10
138,3.3386,1.8796e-10,8.0443e-10
139,3.3592,1.8912e-10,8.0939e-10
140,3.3799,1.9028e-10,8.1439e-10
141,3.4008,1.9146e-10,8.1941e-10
142,3.4218,1.9264e-10,8.2447e-10
143,3.4429,1.9383e-10,8.2955e-10
144,3.4641,1.9502e-10,8.3467e-10
145,3.4855,1.9623e-10,8.3982e-10
146,3.507,1.9744e-10,8.45e-10
147,3.5287,1.9866e-10,8.5022e-10
148,3.5504,1.9988e-10,8.5546e-10
149,3.5723,2.0111e-10,8.6074e-10
150,3.5944,2.0236e-10,8.6605e-10
151,3.6166,2.036e-10,8.714e-10
152,3.6389,2.0486e-10,8.7677e-10
153,3.6613,2.0612e-10,8.8218e-10
154,3.6839,2.074e-10,8.8763e-10
155,3.7067,2.0868e-10,8.931e-10
156,3.7295,2.0996e-10,8.9861e-10
157,3.7525,2.1126e-10,9.0416e-10
158,3.7757,2.1256e-10,9.0974e-10
159,3.799,2.1387e-10,9.1535e-10
160,3.8224,2.1519e-10,9.21e-10
161,3.846,2.1652e-10,9.2668e-10
162,3.8697,2.1786e-10,9.324e-10
163,3.8936,2.192e-10,9.3815e-10
164,3.9176,2.2055e-10,9.4394e-10
165,3.9418,2.2192e-10,9.4977e-10
166,3.9661,2.2328e-10,9.5563e-10
167,3.9906,2.2466e-10,9.6152e-10
168,4.0152,2.2605e-10,9.6746e-10
